year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile,aapc2,projected20502,pct_decrease20502,tercile2
2019,1,13.427872306003138,hgap,1,-0.006924172085282931,10.833933887461075,19.317568408677843,,3,-0.010526310369184966,9.68924926913378,27.84225938161438,3
2023,1,27.283604089507552,nnm,1,-0.021585929010738615,15.233026330604368,44.1678369154223,,3,-0.023338848652234477,14.528860133874794,46.74875032561349,3
2023,1,41.995412685155166,pnm,1,-0.03236855229583861,17.524667827777346,58.27004258974198,,3,-0.03232532874055609,17.54513168459734,58.22131379887757,3
2023,1,32.9549167193115,q5_19,1,-0.0185800818241769,19.954970459532632,39.44766837223088,,3,-0.019823833863092145,19.295983261691088,41.44733113410148,3
2023,1,98.8428223417288,u20m,1,-0.024317096245905036,51.26300473338591,48.13684644075158,,3,-0.02506743659197568,50.23490718923304,49.176980180152945,3
2019,2,11.786009533055164,hgap,1,-0.0017607467430114099,11.159934036498974,5.312022655338028,,3,-0.0026687346192540316,10.850188163174929,7.940103622482413,3
2023,2,20.833243271281788,nnm,1,-0.02202617877880564,11.494206410796458,44.82757071895285,,3,-0.024695019928011153,10.69508625012991,48.66336407220438,3
2023,2,38.51750144419863,pnm,1,-0.033735726594779435,15.490827939090023,59.78236552666321,,3,-0.034860311526388535,15.027536874896391,60.985172164743865,3
2023,2,30.100846624213972,q5_19,1,-0.02423466904215066,15.646030369050232,48.02129466862197,,3,-0.027560887046473682,14.302142456189168,52.4859129886263,3
2023,2,86.8867934563422,u20m,1,-0.027054465681148176,41.85182789560245,51.83177301089879,,3,-0.029168776534722874,39.52957319455488,54.50450911804312,3
2019,3,12.685737197190576,hgap,1,-0.00462369417241173,10.991736768948225,13.353582861684297,,3,-0.006938002774297125,10.230773837302968,19.352153696131218,3
2023,3,24.13193144883441,nnm,1,-0.021742225372443125,13.416641438623639,44.40295229965245,,3,-0.023899808386694678,12.657388217009407,47.54921194830111,3
2023,3,40.24339557539669,pnm,1,-0.03301385208946783,16.503490416058344,58.990810342684,,3,-0.033520329981474715,16.27934287502854,59.54779003543846,3
2023,3,31.54335042058143,q5_19,1,-0.021286636104153222,17.754227005883713,43.714834444791826,,3,-0.023509306748054293,16.720098877439604,46.993269089988424,3
2023,3,92.94754643474602,u20m,1,-0.025574727798964504,46.596138208398855,49.868350488292066,,3,-0.026955206886468196,44.89133228659181,51.70250963202364,3
2019,1,14.185351107164706,hgap,2,-0.008277879386881227,10.974732213300896,22.633341040407505,,3,-0.014086684970546149,9.166197985756321,35.3826499146244,3
2023,1,15.16368180386537,nnm,2,-0.0290771642028425,6.915876982618098,54.39183522793802,,3,-0.019960926043981607,8.845936584544258,41.66366256584636,3
2023,1,12.274861358079093,pnm,2,-0.03351474159028731,4.966201966040832,59.54168588004322,,3,-0.022723535937430837,6.646018201533165,45.85667399690119,3
2023,1,8.698016086725158,q5_19,2,-0.036273791065405,3.2664461998264764,62.44607773476414,,3,-0.03459568682223892,3.4178490465223765,60.70541819601058,3
2023,1,35.71338524695922,u20m,2,-0.03189924926547101,15.093222850679593,57.7379104604353,,3,-0.02418536644434015,18.588082720204625,47.95205609418589,3
2019,2,12.853315360272347,hgap,2,-0.009521644811003992,9.568063114609268,25.55957084673497,,3,-0.011752381350882768,8.928763869839829,30.53337897989116,3
2023,2,12.674304899516343,nnm,2,-0.029281445041451182,5.748722703317957,54.64269836575156,,3,-0.02393293358491544,6.641829820533032,47.59610193071427,3
2023,2,12.331654116850554,pnm,2,-0.0434885560819227,3.8113309079278053,69.09310890645382,,3,-0.030222721509921068,5.45294582638768,55.78090518338073,3
2023,2,6.381475080083798,q5_19,2,-0.04656224659267394,1.8152416809601188,71.55451273914116,,3,-0.04013374006676167,2.1593090636956735,66.16285362557086,3
2023,2,31.072561441509716,u20m,2,-0.03817146429291749,11.08613939722598,64.32177174033664,,3,-0.029448314043638922,14.030319715111212,54.84659434491242,3
2019,3,13.394884425552277,hgap,2,-0.009134704319212528,10.091535880669241,24.661269481217175,,3,-0.013117024523156662,8.91954658982815,33.41079843277265,3
2023,3,13.963268840705574,nnm,2,-0.02935980420653701,6.319976652901394,54.73855925141637,,3,-0.021823987761978803,7.746046297215687,44.52555210686415,3
2023,3,12.29676262236068,pnm,2,-0.038282650519914176,4.374116087537416,64.42871817673836,,3,-0.02633103793258318,6.039963700761456,50.881676045544985,3
2023,3,7.5896454535321345,q5_19,2,-0.04056213219688898,2.53858619186595,66.5519791746725,,3,-0.03689544876391908,2.802768731750328,63.07115070248834,3
2023,3,33.47997275074,u20m,2,-0.03475532786103956,13.099231697956359,60.87442544986291,,3,-0.02659157323947827,16.32952720886144,51.22598417138642,3
2019,1,5.4308586291368215,hgap,3,-0.011717604200963416,3.7767034204450898,30.458447211590233,,3,-0.01677315102583745,3.2288613974421936,40.5460237885922,3
2023,1,2.303915534585033,nnm,3,-0.041004032928343224,0.761474337430805,66.94868687675405,,3,-0.03951569804251207,0.7926973633387103,65.59347113905866,3
2023,1,2.1572409079494426,pnm,3,-0.04619155174990144,0.6198102789290142,71.26837912979443,,3,-0.03482375241162474,0.8424750197319334,60.946641766925104,3
2023,1,3.737667365088404,q5_19,3,-0.0152022342842981,2.479362304909689,33.66551748108685,,3,0.009617629079297575,4.845922854318126,-29.650993011881077,3
2023,1,8.17719796452121,u20m,3,-0.03150108945404693,3.4932066649995885,57.28112881508155,,3,-0.01717839855765204,5.14246627151175,37.11212210070481,3
2019,2,5.512186295379365,hgap,3,-0.003611046105547522,4.928422228344603,10.590427023921654,,3,-0.005514588062863179,4.6460114616449655,15.71381639369623,3
2023,2,1.8840506683002136,nnm,3,-0.03804611448206478,0.6744747621076305,64.2008161746446,,3,-0.03736515005085768,0.6869903856268984,63.536522813014386,3
2023,2,1.8085520669662847,pnm,3,-0.04392744036986855,0.5523826160218657,69.45719030647275,,3,-0.03599774265057563,0.6842633030648767,62.165131125437874,3
2023,2,1.7375208100843809,q5_19,3,-0.02896911908251676,0.7947664827894726,54.258592002079354,,3,-0.031481198338568016,0.7426480162191313,57.25818005120379,3
2023,2,5.420306087959514,u20m,3,-0.03720323065948041,1.9850916013381388,63.3767619554225,,3,-0.03497339990976904,2.10827586968039,61.104117821618175,3
2019,3,5.395961870374975,hgap,3,-0.009308881854849705,4.043357998778625,25.066964965457696,,3,-0.012893619695675351,3.6180986805068205,32.94803100127555,3
2023,3,2.099694654113369,nnm,3,-0.039728410276868645,0.7182948453397665,65.7905093994213,,3,-0.038577614919104095,0.7409636787185166,64.71088416275455,3
2023,3,1.9877013404765442,pnm,3,-0.04519442366721087,0.5866830386517036,70.48434658141105,,3,-0.03534580092764994,0.7653991938382211,61.49324960183811,3
2023,3,2.763503512731802,q5_19,3,-0.01958752336154872,1.628462197923962,41.07254829163649,,3,-0.004045379772235469,2.4775595160498147,10.347155173301134,3
2023,3,6.835441941918208,u20m,3,-0.033734937478987634,2.7491116271336007,59.78150863553197,,3,-0.024297583022300583,3.546943991001987,48.10951477401299,3
2019,1,11.382950255291803,hgap,4,-0.013260012014184275,7.546291660528543,33.70530933296173,,3,-0.013672497605855228,7.4504111475875,34.54762622612807,3
2023,1,9.22066985471405,nnm,4,-0.020871266006917688,5.248401243075026,43.08004379538878,,3,-0.027439412934633544,4.395509879953807,52.329820401208586,3
2023,1,8.144479546811079,pnm,4,-0.026252676654909334,4.00890473999933,50.77764371611699,,3,-0.01806187310106333,5.001159411208117,38.594487438226906,3
2023,1,10.029233959207184,q5_19,4,-0.02093955518827397,5.698119647538786,43.184896566225625,,3,-0.023773530099585116,5.278378305407456,47.37007505382082,3
2023,1,27.145879828577524,u20m,4,-0.022293804280342888,14.869208981189733,45.22480363470725,,3,-0.023120583860815457,14.540960292029368,46.4340062512119,3
2019,2,11.094297999331303,hgap,4,-0.009991756587557844,8.139158761039607,26.636559054658658,,3,-0.01098380710527902,7.892660384055428,28.858406502771523,3
