year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,1,2.138961974965436,q5_19,28,-.017010126,1.3512732,36.825748,,3
2023,1,1.817742828279734,pnm,7,-.010530199,1.3679047,24.747074,,3
2019,1,3.965693473815918,hgap,28,-.006962738,3.1957948,19.413973,,3
2023,3,29.77431006729603,u20m,27,-.018320475,18.155855,39.021744,,3
2023,3,8.432359030662194,q5_19,24,-.048675857,2.2655747,73.132378,,3
2023,2,4.660353530198336,u20m,7,-.027184812,2.2369232,52.000996,,3
2023,3,1.739226514473557,pnm,7,-.0072568501,1.4297584,17.793432,,3
2023,3,2.154798246920109,nnm,13,-.065436557,.36821437,82.911888,,3
2023,1,19.09353397786617,pnm,8,-.024667747,9.8091984,48.625549,,3
2019,2,9.078496932983398,hgap,8,-.0080395201,7.0758214,22.059549,,3
2023,2,8.480682037770748,nnm,27,-.025745202,4.2319818,50.098568,,3
2023,2,6.843913751461317,q5_19,8,-.026052253,3.3870146,50.510559,,3
2023,2,38.05298358201981,u20m,8,-.018013328,23.397278,38.513947,,3
2023,3,8.496535268381567,q5_19,27,-.0084039792,6.7716923,20.300545,,3
2023,3,20.14709450304508,u20m,33,-.025492206,10.1226,49.756531,,3
2023,3,51.4763095314571,q5_19,26,-.015619918,33.763622,34.409397,,3
2023,3,6.996417418122292,pnm,20,-.015624314,4.5884476,34.417183,,3
2023,2,29.88179214298725,nnm,26,-.016582454,19.096844,36.092041,,3
2019,1,10.31699180603027,hgap,33,-.017891817,5.9247942,42.572464,,3
2019,3,7.00103235244751,hgap,29,-.0078052953,5.4964008,21.491566,,3
2023,3,23.43836985528469,u20m,10,-.034804594,9.158206,60.926437,,3
2023,2,6.282185669988394,pnm,20,-.016852416,3.9856594,36.556168,,3
2023,1,36.97153553366661,u20m,32,-.0052710851,32.067051,13.265569,,3
2023,3,11.32274139672518,pnm,27,-.021846944,6.2773361,44.559925,,3
2023,1,4.858020038802646,q5_19,12,-.052661516,1.1720684,75.873535,,3
2023,1,12.44321558624506,u20m,12,-.051679406,3.0827794,75.22522,,3
2023,1,1.761387684382498,pnm,25,-.0257459,.87894112,50.099506,,3
2019,1,7.718878269195557,hgap,25,-.0047671106,6.6584625,13.737951,,3
2019,1,6.671418190002441,hgap,18,-.0068327184,5.3979445,19.088501,,3
2023,2,1.44615164026618,pnm,28,-.0086791208,1.1440444,20.890427,,3
2023,2,7.437630068688028,q5_19,24,-.056919795,1.5995427,78.493919,,3
2019,3,12.9307107925415,hgap,23,.0040408885,14.656336,-13.345168,,3
2023,3,7.598820142447948,pnm,33,-.023782607,3.9982734,47.382973,,3
