year,sex,value,ageg,lid,decline
2019,1,6.68785285949707,hgap,248,3.0686572
2019,3,3.45646595954895,hgap,248,5.3812275
2023,1,4.936363220214844,nnm,248,-.42930746
2023,3,5.930964946746826,pnm,248,-.59872961
2023,3,4.683814525604248,nnm,248,-.33838224
2023,2,3.901720292500133,q5_19,248,-1.9208307
2023,1,8.697846323042381,q5_19,248,-4.6373048
2023,2,4.42742395401001,nnm,248,-.17291689
2023,3,6.377108662803277,q5_19,248,.1588214
2023,2,5.607122898101807,pnm,248,.024555683
2023,1,6.230408191680908,pnm,248,-.2666378
2009,1,5.196843147277832,hgap,144,-1.6454833
2009,3,3.715908050537109,hgap,144,
2009,2,2.070424795150757,hgap,144,0
2013,1,1.848788822068959,q5_19,144,0
2013,3,2.688751935958862,pnm,144,0
2013,1,3.29067587852478,nnm,144,
2013,3,1.612424471655105,q5_19,144,.5061869
2013,3,3.15796685218811,nnm,144,-.274611
2013,1,2.672705411911011,pnm,144,-.015650511
2013,2,2.704402446746826,pnm,144,
2013,2,1.342601913537966,q5_19,144,
2013,2,3.016064882278442,nnm,144,0
2019,2,2.017586469650269,hgap,144,-.17714
2019,1,4.939765930175781,hgap,144,-1.6983216
2019,3,3.53876805305481,hgap,144,1.4809351
2023,2,2.77645468711853,pnm,144,-.095020533
2023,3,3.441027402877808,nnm,144,.23704696
2023,1,2.609381914138794,pnm,144,-.018647671
2023,1,3.527722835540771,nnm,144,-.13270903
2023,2,1.44680674388642,q5_19,144,.56560367
2023,1,1.908205594198797,q5_19,144,.3450273
2023,2,3.349319696426392,nnm,144,.15035152
2023,3,1.687629212425823,q5_19,144,.26982257
2023,3,2.685754776000977,pnm,144,-.031697035
2009,3,13.03275680541992,hgap,35,6.3752117
2009,2,9.857110977172852,hgap,35,
2009,1,16.23232269287109,hgap,35,0
2013,2,28.81460952758789,nnm,35,
2013,2,64.41941070556641,pnm,35,
2013,1,31.39818161492147,q5_19,35,0
2013,3,66.86631011962891,pnm,35,0
2013,1,69.50944519042969,pnm,35,2.4468994
2013,1,39.24594879150391,nnm,35,5.2414703
2013,2,26.44362985048865,q5_19,35,2.4762933
2013,3,28.92188831684583,q5_19,35,
2013,3,34.05607986450195,nnm,35,0
2019,1,15.31822109222412,hgap,35,3.1756458
2019,2,9.454629898071289,hgap,35,5.4611101
2019,3,12.37798118591309,hgap,35,-.40248108
2023,3,23.75054550170898,nnm,35,10.431339
2023,2,19.83390998840332,nnm,35,-5.064064
2023,3,41.5754280090332,pnm,35,5.0900345
2023,1,27.58993530273438,nnm,35,-8.9806995
2023,2,16.22580716010369,q5_19,35,-7.8573585
2023,1,43.48151397705078,pnm,35,-24.705818
2023,2,39.71359252929688,pnm,35,-22.843983
2023,3,18.65198956566561,q5_19,35,-12.696081
2023,1,21.06452973061823,q5_19,35,-2.4782584
2013,1,5.469873657075519,q5_19,193,0
2013,2,1.943813053401522,q5_19,193,
2013,3,3.68378312647033,q5_19,193,3.5260606
2023,1,4.168762386721925,q5_19,193,1.7399701
2023,3,2.917912116803256,q5_19,193,2.2249494
2023,2,1.685988604743671,q5_19,193,.97409904
2009,1,6.294022560119629,hgap,194,1.8579025
2009,3,4.353959083557129,hgap,194,0
2009,2,2.49605655670166,hgap,194,
2013,2,4.761321067810059,nnm,194,0
2013,1,7.678356066221026,q5_19,194,
2013,3,5.698131084442139,pnm,194,0
2013,2,5.47569751739502,pnm,194,-.22697973
2013,3,5.628749847412109,nnm,194,
2013,1,5.925110816955566,pnm,194,
2013,1,6.458833694458008,nnm,194,-.86742878
2013,2,4.17644518992899,q5_19,194,-1.7396131
2013,3,5.938743052426143,q5_19,194,0
2019,1,4.947123527526855,hgap,194,.9092505
2019,3,3.405307054519653,hgap,194,-.66821492
2019,2,1.827841639518738,hgap,194,3.797966
