loc,heading2,heading1,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
Cambodia,Asia,Countries and territories,1,1,1,1,1,1,100
China,Asia,Countries and territories,0,1,1,1,0,1,101
Cyprus,Asia,Countries and territories,0,1,1,1,0,1,102
Georgia,Asia,Countries and territories,0,1,1,1,0,1,103
Hong Kong,Asia,Countries and territories,0,1,0,0,0,1,104
India,Asia,Countries and territories,1,1,1,1,1,1,105
Indonesia,Asia,Countries and territories,1,1,1,1,0,1,106
Iran,Asia,Countries and territories,0,1,1,1,0,1,107
Iraq,Asia,Countries and territories,0,1,1,1,0,1,108
Israel,Asia,Countries and territories,0,1,1,1,0,1,109
Japan,Asia,Countries and territories,0,1,1,1,0,1,110
Jordan,Asia,Countries and territories,1,1,1,1,1,1,111
Kazakhstan,Asia,Countries and territories,1,1,1,1,1,1,112
Kuwait,Asia,Countries and territories,0,1,1,1,0,1,113
Kyrgyzstan,Asia,Countries and territories,1,1,1,1,1,1,114
Lao,Asia,Countries and territories,0,1,1,1,0,1,115
Lebanon,Asia,Countries and territories,0,1,1,1,0,1,116
Macao,Asia,Countries and territories,0,1,0,0,0,0,117
Malaysia,Asia,Countries and territories,0,1,1,1,0,1,118
Maldives,Asia,Countries and territories,1,1,1,1,0,1,119
Mongolia,Asia,Countries and territories,0,1,1,1,0,1,120
Myanmar,Asia,Countries and territories,1,1,1,1,0,1,121
Nepal,Asia,Countries and territories,1,1,1,1,1,1,122
North Korea,Asia,Countries and territories,0,1,1,1,0,1,123
Oman,Asia,Countries and territories,0,1,1,1,0,1,124
Pakistan,Asia,Countries and territories,1,1,1,1,1,1,125
Palestine,Asia,Countries and territories,0,1,1,1,0,1,126
Philippines,Asia,Countries and territories,1,1,1,1,0,1,127
Qatar,Asia,Countries and territories,0,1,1,1,0,1,128
Saudi Arabia,Asia,Countries and territories,0,1,1,1,0,1,129
Singapore,Asia,Countries and territories,0,1,1,1,0,1,130
South Korea,Asia,Countries and territories,0,1,1,1,0,1,131
Sri Lanka,Asia,Countries and territories,0,1,1,1,0,1,132
Syria,Asia,Countries and territories,0,1,1,1,0,1,133
