loc,heading2,heading1,has_wimort,has_imr,has_nmr,has_pnm,has_cms,has_ncdcm5,lid
"Eastern Asia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,421
"Eastern Asia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,422
"Eastern Europe, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,423
"Eastern Europe, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,424
"Melanesia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,425
"Melanesia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,426
"Micronesia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,427
"Micronesia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,428
"Middle Africa, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,429
"Middle Africa, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,430
"Northern Africa, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,431
"Northern Africa, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,432
"Northern America, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,433
"Northern America, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,434
"Northern Europe, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,435
"Northern Europe, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,436
"Polynesia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,437
"Polynesia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,438
"South America, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,439
"South America, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,440
"South-Eastern Asia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,441
"South-Eastern Asia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,442
"Southern Africa, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,443
"Southern Africa, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,444
"Southern Asia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,445
"Southern Asia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,446
"Southern Europe, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,447
"Southern Europe, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,448
"Western Africa, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,449
"Western Africa, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,450
"Western Asia, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,451
"Western Asia, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,452
"Western Europe, highest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,453
"Western Europe, lowest each year",UN subregions,Lowest or highest mortality,0,1,1,1,0,1,454
