age,sex,value,lid
7,1,116.6643141423898,1
8,2,123.2041239456868,1
14,2,153.3947071524818,1
15,3,157.6497405435304,1
6,3,112.0061129121896,1
5,1,105.7182834795701,1
8,3,122.4251283233646,1
17,2,157.0838996166025,1
17,3,161.4855132427517,1
18,1,167.753198038387,1
16,3,159.8955439856682,1
16,1,163.3861688756919,1
13,1,148.8222074348914,1
17,1,165.8106917969127,1
19,3,164.0456969331657,1
6,2,112.6442431565198,1
9,3,127.5479629076289,1
12,3,144.2501748039968,1
13,2,150.6397273379828,1
14,3,154.3423535042994,1
11,3,138.5168679633025,1
13,3,149.7218891113488,1
10,2,134.4647813090109,1
6,1,111.3823771646928,1
9,1,126.5095352589435,1
9,2,128.610728950948,1
11,2,140.7666951255827,1
19,2,158.3954118249283,1
18,3,162.758403320957,1
7,3,117.3124257646859,1
10,3,132.8777361922043,1
15,1,160.0582076998144,1
7,2,117.9757547813826,1
5,3,106.3200549019299,1
18,2,157.6836263648765,1
8,1,121.6640350070312,1
16,2,156.3407987198421,1
11,1,136.3164764987919,1
10,1,131.3265280917928,1
12,1,142.0581205527926,1
15,2,155.1967724225786,1
19,1,169.62387684488,1
5,2,106.9353703131454,1
14,1,155.2725307114312,1
12,2,146.489880436852,1
5,3,105.2435969433528,2
7,1,117.0242384793767,2
13,3,148.9746852324756,2
11,2,138.8513084683073,2
5,1,105.426653115263,2
16,3,158.4052907990871,2
9,2,126.9890576672783,2
15,3,156.4431892612968,2
12,2,144.3991587480544,2
11,1,137.2322902346819,2
8,3,121.9091549928239,2
10,1,132.2991948815379,2
7,3,116.6923684104575,2
19,1,166.8626454187534,2
6,1,111.4603032685422,2
17,2,154.2246188171274,2
10,3,132.5283193224591,2
19,3,161.148092075075,2
12,3,143.63541846543,2
11,3,138.0119243435702,2
13,1,149.5484141749099,2
9,1,127.3421373869505,2
14,1,155.6997240143333,2
15,1,160.1146550273959,2
14,3,153.3758104865053,2
12,1,142.9243488530746,2
7,2,116.3321018892353,2
9,3,127.1725321668398,2
6,3,111.2095235549342,2
19,2,155.0795427667629,2
16,1,162.9768345177348,2
17,1,164.8626424666314,2
8,1,122.2408379966294,2
15,2,152.5290580287982,2
17,3,159.7067100370557,2
18,1,166.0338589255627,2
5,2,105.0439967215001,2
13,2,148.3600803075465,2
6,2,110.9366209699705,2
16,2,153.5385644485369,2
14,2,150.8931179928377,2
18,2,154.6828510039364,2
8,2,121.5498929653613,2
10,2,132.7756960363188,2
18,3,160.5299763535351,2
8,2,129.8954977217661,3
13,1,158.9133584148663,3
7,3,124.8001906455791,3
6,1,119.3689272418871,3
9,1,135.6097173473349,3
19,1,177.6006504597899,3
7,1,125.0869943461448,3
6,2,118.9237798918541,3
