surveyyear,wi,NMR,CH,PNM,lid
1997,Richest,34.61639,82.519737,54.700993,43
1997,Poorest,32.090523,90.611046,47.739594,43
2004,Richest,36.51754,85.606468,64.47142,43
2014,Poorer,35.62701,78.319916,49.814548,43
2014,Richer,33.730213,61.409363,38.051121,43
1997,Poorer,59.841774,91.042091,76.843452,43
2004,Middle,51.405106,94.718239,65.638969,43
1996,Richest,47.538212,21.984863,17.058292,44
2012,Richer,27.879438,14.027667,6.6082973,44
1996,Poorer,64.75985,27.24823,43.736328,44
2012,Poorest,18.902561,15.257136,17.783577,44
2012,Richest,22.695463,6.0851526,11.267748,44
2012,Poorer,25.358278,10.980224,17.327257,44
1996,Poorest,39.012344,41.730057,48.123344,44
1996,Richer,32.413792,18.329668,30.157581,44
2012,Middle,33.195797,8.3076944,8.9119949,44
1996,Middle,38.895859,28.754271,44.727936,44
2011,Poorest,22.132444,37.446781,29.729021,45
2005,Poorest,34.391659,43.852764,57.058079,45
2011,Richer,26.419683,28.324827,19.164728,45
2011,Richest,19.20834,18.417341,16.808022,45
2011,Middle,23.589392,38.978947,18.080763,45
2005,Richer,41.156712,48.053204,34.882961,45
2011,Poorer,28.823448,43.394745,25.978943,45
2005,Poorer,35.117161,34.421352,60.592999,45
2005,Richest,37.360653,28.271242,18.94379,45
2005,Middle,29.332695,55.542316,45.049706,45
2007,Poorer,43.747086,71.477943,61.58754,46
2013,Poorest,26.612898,52.32901,38.151024,46
2007,Richest,26.540695,38.469276,31.613789,46
2007,Poorest,43.515251,70.344208,69.589615,46
2013,Middle,32.512402,53.177128,36.560429,46
2007,Richer,40.916195,58.911606,51.567478,46
2023,Middle,24.447325,32.68782,28.069445,46
2023,Richest,18.628508,12.460997,16.726225,46
2013,Richest,22.070238,25.988529,28.278418,46
2007,Middle,40.950974,59.652531,54.164787,46
2023,Poorer,22.060383,46.879028,31.770046,46
2013,Richer,39.006538,42.651321,34.370483,46
2023,Poorest,21.614225,44.127419,36.868088,46
2013,Poorer,29.817837,53.012012,35.782993,46
2023,Richer,17.826313,25.435781,28.3507,46
1998,Richer,57.050201,51.182777,48.761383,47
1998,Richest,32.590591,24.007813,26.502979,47
2021,Richest,25.766293,17.972902,7.6709785,47
2005,Richest,40.885086,21.257803,38.014534,47
1994,Richest,39.403446,33.271927,23.828915,47
1994,Poorest,60.045567,72.313004,57.085903,47
2012,Poorer,42.224522,41.385033,34.47298,47
2012,Richest,39.171753,27.042896,19.38937,47
1994,Poorer,49.572174,70.099182,47.678185,47
1998,Poorest,73.22966,82.35302,73.630768,47
2021,Richer,32.470436,17.419518,18.70071,47
2012,Middle,39.054977,38.940929,36.519562,47
1994,Richer,41.979553,49.466652,36.782181,47
2012,Poorest,46.156464,48.775295,42.674942,47
2005,Richer,23.739553,53.642162,33.767525,47
2005,Poorer,46.492657,44.89093,54.598049,47
2012,Richer,41.874912,37.883339,28.296558,47
2005,Middle,52.185669,32.055096,36.544464,47
2021,Poorer,28.254707,30.338079,28.677223,47
1998,Poorer,53.681309,67.043999,65.393631,47
2021,Middle,28.739397,21.320753,22.444273,47
2005,Poorest,44.255493,56.34594,48.938377,47
1998,Middle,48.009476,71.064674,49.722496,47
2021,Poorest,34.974102,32.543797,30.057796,47
1994,Middle,43.633331,58.954453,45.262726,47
2008,Richest,12.531745,2.1074548,4.3034906,49
2014,Poorer,16.320307,5.384521,11.9758,49
2005,Poorest,27.787928,15.39085,31.415636,49
2000,Richest,24.865734,4.4467182,5.8245773,49
1995,Richest,21.396168,7.34337,10.377518,49
2005,Poorer,23.352535,12.059513,19.659195,49
2014,Richer,14.830503,4.1334567,6.6702728,49
2005,Richest,18.001871,2.086534,4.9983044,49
2014,Middle,15.795033,4.0284905,9.6477146,49
2008,Richer,16.142672,2.5326495,8.4831333,49
1995,Poorer,44.47834,30.030054,44.161926,49
2008,Middle,18.825083,5.9608421,7.3706169,49
2005,Middle,22.522995,7.9898915,16.323479,49
2000,Richer,26.562685,10.085643,17.166437,49
1995,Poorest,52.328705,37.449543,57.348228,49
2008,Poorer,17.958708,5.5715165,12.575521,49
2014,Richest,11.13117,1.6618339,6.4474297,49
2000,Poorer,31.205706,17.184731,33.970856,49
2003,Richest,18.902876,4.383956,8.6801472,49
2000,Poorest,34.973293,22.247625,41.498913,49
2008,Poorest,20.884409,6.9074707,21.219381,49
1995,Middle,31.199957,20.868435,33.361877,49
1995,Richer,29.254513,11.333298,21.379955,49
2014,Poorest,23.059349,5.9527931,13.177532,49
2003,Richer,24.564722,7.3064985,12.710443,49
2000,Middle,29.038303,16.860155,25.167366,49
2005,Richer,20.947361,8.4430399,11.706127,49
2003,Poorest,28.320448,18.833891,36.87944,49
2003,Poorer,28.969137,11.634673,16.259783,49
2003,Middle,22.055838,7.5136642,20.714075,49
2006,Poorest,16.701385,33.136154,67.556511,52
2006,Poorer,34.62373,27.412781,36.431797,52
2006,Richest,29.036978,16.823214,55.208633,52
2006,Richer,18.021645,34.445213,60.932808,52
2006,Middle,15.763451,31.699945,48.903839,52
2000,Poorer,66.164024,79.909256,48.672012,53
2005,Richer,44.924713,55.046318,39.464279,53
2016,Richer,47.015583,16.299057,27.569904,53
2019,Richest,23.874737,6.9627709,14.749146,53
2005,Middle,47.385151,57.988216,38.47134,53
