year,sex,value,ageg,lid,aapc,projected2050,pct_decrease2050,pop,tercile
2023,2,23.73489923775196,u20m,32,.0098822154,30.993153,-30.580511,,3
2019,2,163.0186614990234,hgap,12,.001835666,172.56438,-5.8555965,,3
2023,2,31.07256256043911,u20m,2,-.038171463,11.08614,64.32177,,3
2023,3,20.20709589123726,nnm,11,-.02918317,9.1897449,54.52219,,3
2023,3,2.763503483002916,q5_19,3,-.019587524,1.6284621,41.072552,,3
2023,2,7.159340661019087,nnm,4,-.021319956,4.0260234,43.765446,,3
2023,2,55.25527521967888,u20m,31,-.03162311,23.526791,57.421638,,3
2023,1,20.70921845734119,nnm,14,-.023449484,10.995025,46.907581,,3
2019,2,156.2619171142578,hgap,31,.00081434852,160.25693,-2.5566115,,3
2023,2,7.099624862703435,q5_19,27,.0079266224,8.7939215,-23.864594,,3
2023,2,79.3127715587616,u20m,30,-.033281453,32.291367,59.286045,,3
2019,2,157.6543121337891,hgap,30,.00022143088,158.74023,-.68879956,,3
2023,1,1.97734753601253,nnm,25,-.023536982,1.0473444,47.03286,,3
2023,2,8.999413810670376,nnm,22,-.026301729,4.4238605,50.842793,,3
2023,3,11.30341086536646,nnm,32,.0027381314,12.170732,-7.6730967,,3
2023,2,5.029847322610137,q5_19,33,-.027599927,2.3873682,52.535973,,3
2019,1,168.9384613037109,hgap,30,.00042863519,171.19824,-1.3376355,,3
2023,1,8.515030145645142,u20m,29,-.014549336,5.7488556,32.485786,,3
2023,2,4.710344768682151,q5_19,21,-.015818454,3.0730264,34.760052,,3
2023,3,33.4799736738205,u20m,2,-.034755331,13.099232,60.874428,,3
2023,3,1.72922578357082,q5_19,28,-.01886303,1.0391177,39.908501,,3
2023,1,16.46273140600329,q5_19,32,-.015902361,10.715973,34.907684,,3
2023,2,1.947647426277399,nnm,28,-.010597622,1.462996,24.88394,,3
2023,1,6.319975480437279,u20m,28,-.01118676,4.6724,26.069334,,3
2019,1,173.4885406494141,hgap,21,.00094331295,178.63672,-2.9674456,,3
2023,3,6.996417418122292,pnm,20,-.015624314,4.5884476,34.417183,,3
2023,2,134.4131529331207,u20m,26,-.020656629,76.952576,42.749222,,3
2023,1,14.70581255853176,pnm,24,-.045717899,4.2795997,70.898582,,3
2023,2,56.17827177047729,pnm,26,-.029804671,25.123507,55.278961,,3
2023,2,5.420306231826544,u20m,3,-.037203226,1.9850919,63.376759,,3
2019,2,158.9974822998047,hgap,26,.000053564905,159.26172,-.16618907,,3
