age,sex,value,lid
12,2,146.434502813964,1
15,2,155.0130965490658,1
14,2,153.256798780345,1
13,3,150.0062697075882,1
11,1,136.9080841160363,1
10,1,131.8512814249025,1
7,3,117.4595478933083,1
5,1,105.8556992214281,1
18,2,157.3684520579967,1
12,3,144.544979289928,1
19,1,170.1469971316733,1
18,1,168.2940884540334,1
12,1,142.6979321339004,1
9,3,127.7720987933796,1
14,1,155.9222737132255,1
5,2,106.938016680984,1
6,2,112.6380929561183,1
19,2,158.0461711129342,1
13,2,150.5450845773119,1
6,3,112.1195505102794,1
18,3,162.8610880846699,1
8,1,122.0425057607438,1
15,1,160.6869597930165,1
8,2,123.1894599255478,1
7,1,116.965346825215,1
11,2,140.7352160350599,1
7,2,117.9630583366228,1
15,3,157.8795318681521,1
6,1,111.610984250843,1
16,3,160.0830208168728,1
17,3,161.6262844619275,1
19,3,164.1158061156987,1
10,3,133.1336356955096,1
8,3,122.6103997747553,1
9,2,128.5956099553933,1
14,3,154.6043951210526,1
16,2,156.1088524016736,1
9,1,126.9655396534206,1
10,2,134.4439052363771,1
13,1,149.4796239907235,1
5,3,106.3913867106643,1
11,3,138.8003899174138,1
17,1,166.3742698487701,1
16,1,163.9850390738755,1
17,2,156.806358215832,1
15,2,152.1517105310715,2
17,2,153.7489002425403,2
5,1,103.5471716436923,2
13,3,148.0661621967305,2
6,1,109.5378916271678,2
7,3,114.9603143689569,2
17,3,158.8480297059587,2
16,3,157.7198586566402,2
8,3,120.2891270326092,2
5,2,103.2770725252364,2
12,1,141.6050122970007,2
16,1,162.032233665579,2
19,1,165.7119923000217,2
15,1,159.2119088308671,2
9,3,125.5947914146662,2
11,3,136.8272522361443,2
13,1,148.3715613035934,2
14,2,150.437946092578,2
7,2,114.8189749390092,2
13,2,147.7438725039614,2
18,3,159.5802352088516,2
8,1,120.3725416165454,2
9,2,125.7143054895409,2
10,2,131.6340642756006,2
6,3,109.4175221122611,2
14,1,154.7134387756379,2
19,3,160.3559060341211,2
12,3,142.6071337478723,2
14,3,152.6322355686333,2
15,3,155.7739788530436,2
17,1,163.6929601588668,2
9,1,125.4820236026649,2
5,3,103.4162707645489,2
16,2,153.1788184603785,2
18,2,154.1541706507372,2
11,1,135.7443064618654,2
10,3,131.0715921696263,2
11,2,137.9721693979675,2
12,2,143.665499739868,2
10,1,130.5402200005574,2
6,2,109.2896072238798,2
7,1,115.0934024654428,2
19,2,154.7199192153281,2
8,2,120.2006221734252,2
18,1,164.7365459173616,2
17,3,169.13668737283,3
6,2,118.5459293537196,3
19,1,176.400726204386,3
15,1,169.8880689814855,3
18,3,169.784068603808,3
13,1,158.6688809037388,3
7,2,124.1322908782254,3
17,2,163.2265129832481,3
18,2,163.4720831359382,3
16,2,162.79474891449,3
6,3,118.7138481714182,3
9,3,135.2169208520476,3
19,3,170.2056993025261,3
15,2,161.8993183843743,3
7,3,124.3830543845001,3
18,1,175.872182319819,3
5,3,112.6248990899357,3
12,1,151.7366696980453,3
10,3,140.7965174117543,3
17,1,174.8403805428475,3
8,3,129.8157057318267,3
13,3,158.1096215472191,3
9,1,135.2673122039053,3
10,2,141.1706228368823,3
11,3,146.6458213023569,3
10,1,140.4369475703936,3
14,3,162.7639190691909,3
14,1,165.1769809493552,3
14,2,160.2296553719684,3
5,1,112.6902175768997,3
12,3,152.5321130082059,3
19,2,163.7567002478082,3
