age,sex,value,lid
9,2,128.6075892955947,1
9,1,126.7091088431852,1
8,2,123.1885612307053,1
16,2,156.2829585325395,1
18,3,162.884338011483,1
15,1,160.5874241014653,1
19,2,158.2093786417998,1
7,3,117.309679943804,1
6,3,111.9518495583817,1
14,2,153.3930711521915,1
12,3,144.4771591175044,1
12,2,146.5091205514522,1
17,1,166.2585360119393,1
18,1,168.131985885325,1
8,3,122.4758153972985,1
8,1,121.7783804389411,1
11,3,138.7037627682957,1
13,3,149.9732403171761,1
11,1,136.6677266535825,1
11,2,140.7816270472421,1
17,3,161.6665535857807,1
7,2,117.9471352488771,1
15,2,155.1726580732216,1
5,3,106.2040798555519,1
16,1,163.8886935573904,1
10,1,131.5998147813012,1
5,2,106.8967834569452,1
18,2,157.5429018251123,1
10,2,134.4701437767179,1
15,3,157.9082146474738,1
14,3,154.606617416336,1
12,1,142.4840943038909,1
16,3,160.1240165402161,1
6,2,112.6108369575652,1
17,2,156.9861560029576,1
13,1,149.3080631450113,1
13,2,150.6517111759651,1
19,1,169.9269552641229,1
10,3,133.0197333566897,1
14,1,155.7951840754903,1
9,3,127.6481470259713,1
19,3,164.1146513781695,1
5,1,105.5251976781196,1
6,1,111.3067239210994,1
7,1,116.6861026586711,1
8,2,120.4636637957927,2
10,2,131.6530249450622,2
16,1,162.441307745023,2
5,2,103.6301199894176,2
6,1,110.0860813873569,2
7,1,115.6414444869265,2
7,2,115.1181265335251,2
19,3,160.7315052482845,2
11,2,137.8664191390494,2
17,1,164.2259432960685,2
13,1,148.3550881912561,2
10,3,131.1729243628263,2
12,1,141.5459487496981,2
9,1,125.8150886326415,2
15,3,155.9093712516572,2
16,3,157.9908922604722,2
17,3,159.2283432373106,2
19,1,166.2304919598742,2
18,3,160.0049688821896,2
5,1,104.1371594181253,2
6,2,109.582394299362,2
15,1,159.4550845966919,2
7,3,115.3880636730379,2
11,3,136.7870637349465,2
5,3,103.8919075905731,2
18,1,165.3121302488543,2
13,2,147.5970519544301,2
10,1,130.7213311282801,2
